Index Number,Variable Label (English),Variable Name,Section Name
1,_uuid,_uuid,Survey Info
2,start,start,Survey Info
3,end,end,Survey Info
4,State,bi1,Basic Identification
5,Parliament Constituency Number,bi2,Basic Identification
6,Parliament Constituency Name,bi3,Basic Identification
7,Assembly Constituency Number,bi4,Basic Identification
8,Assembly Constituency Name,bi5,Basic Identification
9,Polling Booth Number,bi6,Basic Identification
10,Polling Booth Name,bi7,Basic Identification
13,Town/Village Name,bi10,Basic Identification
14,Nature of Locality,bi11,Basic Identification
16,Gender,bi13,Basic Identification
18,Age,bi15,Basic Identification
19,GPS Location of House,bi16,Basic Identification
20,_GPS Location of House_latitude,bi16_lat,Basic Identification
21,_GPS Location of House_longitude,bi16_longt,Basic Identification
22,_GPS Location of House_altitude,bi16_alt,Basic Identification
23,_GPS Location of House_precision,bi16_prec,Basic Identification
24,Completed level of education,dh1,Demographic and household particulars
25,How many people are there in your household?,dh2,Demographic and household particulars
26,What is your primary activity?,dh3,Demographic and household particulars
27,"If student, what kind of institution you're currently attending?",dh4,Demographic and household particulars
28,What is your official caste category?,dh5,Demographic and household particulars
29,"If you are from the General category, what is your Jati?",dh6,Demographic and household particulars
30,"If Other Upper Caste, please write down the Jati",dh7,Demographic and household particulars
31,"If you are from the OBC category, what is your Jati?",dh8,Demographic and household particulars
32,"If Other OBCs, please write down the Jati",dh9,Demographic and household particulars
33,"If you are from the SC category, what is your Jati?",dh10,Demographic and household particulars
34,"If Other SCs, please write down the Jati",dh11,Demographic and household particulars
35,"If you are from the ST category, what is your tribe?",dh12,Demographic and household particulars
36,"If Other STs, please write down the tribe",dh13,Demographic and household particulars
37,What is your Religion,dh14,Demographic and household particulars
38,Type of house the respondent living in,dh15,Demographic and household particulars
39,Do you have tap water in your house,dh16,Demographic and household particulars
40,Do you have a latrine for exclusive use in your house,dh17,Demographic and household particulars
41,Nature of dwelling,dh18,Demographic and household particulars
42,Do you own the house?,dh19,Demographic and household particulars
43,Does your household own any of the following items?,dh20,Demographic and household particulars
44,Did you vote in the ongoing Lok Sabha election (2024)?,ep1,Electoral Preferences
45,"If yes, whom did you vote for?...44",ep2,Electoral Preferences
46,"If not, why could you not vote?",ep3,Electoral Preferences
47,Did you vote in the last Vidhan Sabha election?,ep4,Electoral Preferences
48,"If yes, whom did you vote for?...47",ep5,Electoral Preferences
49,Did you vote in the 2019 lok sabha election?,ep6,Electoral Preferences
50,"If yes, whom did you vote for?...49",ep7,Electoral Preferences
51,Do you always vote for the same party or alliance?,ep8,Electoral Preferences
52,"If yes, what is this party?",ep9,Electoral Preferences
53,When did you decide to vote for a particular party/candidate?,ep10,Electoral Preferences
54,Do all members of your family usually vote the same party you do?,ep11,Electoral Preferences
55,Do you have a Bank account?,wb1,Access to Welfare Schemes/Benefits
56,"Do you use UPI (PhonePe, Paytm, Google Pay)?",wb2,Access to Welfare Schemes/Benefits
57,Have you or a household member worked in NREGA in the past 5 years?,wb3,Access to Welfare Schemes/Benefits
58,Have you received piped water assistance from the government in your village/town/city in the last 5 years?,wb4,Access to Welfare Schemes/Benefits
59,Which of these direct benefits have you personally received from the government in the last 5 years?,wb5,Access to Welfare Schemes/Benefits
60,Which of these direct benefits have other members in your household received in the last 5 years?,wb6,Access to Welfare Schemes/Benefits
61,Which scheme has been most useful for your household?,wb7,Access to Welfare Schemes/Benefits
62,Who of the following do you hold most responsible for delivering these benefits to you?,wb8,Access to Welfare Schemes/Benefits
63,Who do you primarily reach out to if you encounter problems getting scheme benefits?,wb9,Access to Welfare Schemes/Benefits
64,Are more people in your area getting access to money/ration/schemes through government schemes since COVID?,wb10,Access to Welfare Schemes/Benefits
65,Do you pay a commission to get benefits from DBT schemes?,wb11,Access to Welfare Schemes/Benefits
66,"In the last 5 years, do you believe corruption in welfare schemes has reduced?",wb12,Access to Welfare Schemes/Benefits
67,"If yes to previous question, is it because of:",wb13,Access to Welfare Schemes/Benefits
68,"In the last 5 years, do you believe that the contractor/dalal is no longer taking a cut from welfare schemes?",wb14,Access to Welfare Schemes/Benefits
69,Do you believe the contractor/dalal still has a role in sanctioning ration after the conception of EPOS and biometric system?,wb15,Access to Welfare Schemes/Benefits
